chapter_no,title,subject,exam,exam_group,year,questions,max_question_seen,start_pdf_page,end_pdf_page,toc_pdf_page,printed_page
161,Anesthesia NEET 2022,Anesthesia,NEET PG,NEET PG,2022,2,2,3473,3477,3402,3477
162,Anesthesia NEET 2023,Anesthesia,NEET PG,NEET PG,2023,3,3,3478,3482,3402,3482
163,Anesthesia INI-CET 2023,Anesthesia,INI-CET,AIIMS/INI-CET,2023,6,6,3483,3487,3402,3487
164,Anesthesia INI-CET 2024,Anesthesia,INI-CET,AIIMS/INI-CET,2024,12,12,3488,3500,3402,3492
165,Anesthesia NEET 2024,Anesthesia,NEET PG,NEET PG,2024,14,14,3501,3520,3402,3505
166,Dermatology AIIMS 2017,Dermatology,AIIMS,AIIMS/INI-CET,2017,9,9,3521,3535,3520,3524
167,Dermatology AIIMS 2018,Dermatology,AIIMS,AIIMS/INI-CET,2018,10,10,3536,3546,3520,3539
168,Dermatology AIIMS 2019 (May & Nov),Dermatology,AIIMS,AIIMS/INI-CET,2019,10,10,3547,3559,3520,3550
169,Dermatology AIIMS 2020 (May & Nov INI-CET),Dermatology,AIIMS,AIIMS/INI-CET,2020,12,12,3560,3573,3520,3563
170,Dermatology NEET 2018,Dermatology,NEET PG,NEET PG,2018,7,7,3574,3583,3520,3577
171,Dermatology NEET 2019,Dermatology,NEET PG,NEET PG,2019,8,8,3584,3598,3520,3587
172,Dermatology NEET 2020,Dermatology,NEET PG,NEET PG,2020,5,5,3599,3607,3520,3602
173,Dermatology INI-CET 2021,Dermatology,INI-CET,AIIMS/INI-CET,2021,13,13,3608,3635,3520,3611
174,Dermatology NEET 2021,Dermatology,NEET PG,NEET PG,2021,6,6,3636,3649,3520,3639
175,Dermatology INI-CET 2022,Dermatology,INI-CET,AIIMS/INI-CET,2022,16,16,3650,3674,3520,3653
176,Dermatology NEET 2022,Dermatology,NEET PG,NEET PG,2022,7,7,3675,3691,3520,3678
177,Dermatology NEET 2023,Dermatology,NEET PG,NEET PG,2023,4,4,3692,3697,3520,3695
178,Dermatology INI-CET 2023,Dermatology,INI-CET,AIIMS/INI-CET,2023,13,13,3698,3720,3520,3701
179,Dermatology INI-CET 2024,Dermatology,INI-CET,AIIMS/INI-CET,2024,7,7,3721,3730,3520,3724
180,Dermatology NEET 2024,Dermatology,NEET PG,NEET PG,2024,12,12,3731,3753,3520,3734
181,Psychiatry AIIMS 2017,Psychiatry,AIIMS,AIIMS/INI-CET,2017,9,9,3754,3763,3753,3756
182,Psychiatry AIIMS 2018,Psychiatry,AIIMS,AIIMS/INI-CET,2018,9,9,3764,3770,3753,3766
183,Psychiatry AIIMS 2019 (May & Nov),Psychiatry,AIIMS,AIIMS/INI-CET,2019,8,8,3771,3777,3753,3773
184,Psychiatry AIIMS 2020 (May & Nov INI-CET),Psychiatry,AIIMS,AIIMS/INI-CET,2020,13,13,3778,3789,3753,3780
185,Psychiatry NEET 2018,Psychiatry,NEET PG,NEET PG,2018,10,10,3790,3796,3753,3792
186,Psychiatry NEET 2019,Psychiatry,NEET PG,NEET PG,2019,7,7,3797,3802,3753,3799
187,Psychiatry NEET 2020,Psychiatry,NEET PG,NEET PG,2020,8,8,3803,3809,3753,3805
188,Psychiatry INI-CET 2021,Psychiatry,INI-CET,AIIMS/INI-CET,2021,7,7,3810,3818,3753,3812
189,Psychiatry NEET 2021,Psychiatry,NEET PG,NEET PG,2021,5,5,3819,3824,3753,3821
190,Psychiatry INI-CET 2022,Psychiatry,INI-CET,AIIMS/INI-CET,2022,11,11,3825,3836,3753,3827
191,Psychiatry NEET 2022,Psychiatry,NEET PG,NEET PG,2022,2,2,3837,3839,3753,3839
192,Psychiatry NEET 2023,Psychiatry,NEET PG,NEET PG,2023,5,5,3840,3845,3753,3842
193,Psychiatry INI-CET 2023,Psychiatry,INI-CET,AIIMS/INI-CET,2023,7,7,3846,3852,3753,3848
194,Psychiatry INI-CET 2024,Psychiatry,INI-CET,AIIMS/INI-CET,2024,5,5,3853,3857,3753,3855
195,Psychiatry NEET 2024,Psychiatry,NEET PG,NEET PG,2024,129,14,3858,4070,3753,3860
211,Medicine AIIMS 2017,Medicine,AIIMS,AIIMS/INI-CET,2017,44,44,4071,4113,4070,4071
212,Medicine AIIMS 2018,Medicine,AIIMS,AIIMS/INI-CET,2018,38,38,4114,4149,4070,4114
213,Medicine AIIMS 2019 (May & Nov),Medicine,AIIMS,AIIMS/INI-CET,2019,24,24,4150,4172,4070,4150
214,Medicine AIIMS 2020 (May & Nov INI-CET),Medicine,AIIMS,AIIMS/INI-CET,2020,31,31,4173,4205,4070,4173
215,Medicine NEET 2018,Medicine,NEET PG,NEET PG,2018,29,29,4206,4233,4070,4206
216,Medicine NEET 2019,Medicine,NEET PG,NEET PG,2019,25,25,4234,4260,4070,4234
217,Medicine NEET 2020,Medicine,NEET PG,NEET PG,2020,23,23,4261,4285,4070,4261
218,Medicine INI-CET 2021,Medicine,INI-CET,AIIMS/INI-CET,2021,28,28,4286,4317,4070,4286
219,Medicine NEET 2021,Medicine,NEET PG,NEET PG,2021,21,21,4318,4351,4070,4318
220,Medicine INI-CET 2022,Medicine,INI-CET,AIIMS/INI-CET,2022,62,62,4352,4421,4070,4352
221,Medicine NEET 2022,Medicine,NEET PG,NEET PG,2022,23,23,4422,4456,4070,4422
222,Medicine NEET 2023,Medicine,NEET PG,NEET PG,2023,17,17,4457,4487,4070,4457
223,Medicine INI-CET 2023,Medicine,INI-CET,AIIMS/INI-CET,2023,38,38,4488,4531,4070,4488
224,Medicine INI-CET 2024,Medicine,INI-CET,AIIMS/INI-CET,2024,44,44,4532,4575,4070,4532
225,Medicine NEET 2024,Medicine,NEET PG,NEET PG,2024,41,41,4576,4639,4070,4576
226,Surgery AIIMS 2017,Surgery,AIIMS,AIIMS/INI-CET,2017,30,30,4640,4674,4639,4639
227,Surgery AIIMS 2018,Surgery,AIIMS,AIIMS/INI-CET,2018,20,20,4675,4696,4639,4674
228,Surgery AIIMS 2019 (May & Nov),Surgery,AIIMS,AIIMS/INI-CET,2019,33,33,4697,4730,4639,4696
229,Surgery AIIMS 2020 (May & Nov INI-CET),Surgery,AIIMS,AIIMS/INI-CET,2020,41,41,4731,4779,4639,4730
230,Surgery NEET 2018,Surgery,NEET PG,NEET PG,2018,26,26,4780,4810,4639,4779
231,Surgery NEET 2019,Surgery,NEET PG,NEET PG,2019,22,22,4811,4835,4639,4810
232,Surgery NEET 2020,Surgery,NEET PG,NEET PG,2020,26,26,4836,4865,4639,4835
233,Surgery INI-CET 2021,Surgery,INI-CET,AIIMS/INI-CET,2021,29,29,4866,4907,4639,4865
234,Surgery NEET 2021,Surgery,NEET PG,NEET PG,2021,18,18,4908,4937,4639,4907
235,Surgery INI-CET 2022,Surgery,INI-CET,AIIMS/INI-CET,2022,48,48,4938,4994,4639,4937
236,Surgery NEET 2022,Surgery,NEET PG,NEET PG,2022,25,25,4995,5034,4639,4994
237,Surgery NEET 2023,Surgery,NEET PG,NEET PG,2023,27,27,5035,5073,4639,5034
238,Surgery INI-CET 2023,Surgery,INI-CET,AIIMS/INI-CET,2023,30,30,5074,5111,4639,5073
